"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.61993018392883,0.662,0.218,0,"0","Bcl11a"
0,1.79067842817681,0.625,0.182,0,"0","Sdc3"
0,1.96104468530431,0.618,0.175,0,"0","1110032A03Rik"
0,1.60419507418441,0.709,0.266,0,"0","Tpd52l2"
0,1.38407540946268,0.792,0.35,0,"0","Kif1b"
0,1.66632572033391,0.668,0.228,0,"0","Vamp2"
0,2.5548757329952,0.716,0.276,0,"0","Pcp4l1"
0,1.73469110459432,0.663,0.224,0,"0","2210016L21Rik"
0,3.08722752887722,0.504,0.065,0,"0","Tex52"
0,2.01955289113343,0.58,0.141,0,"0","Adgrl3"
0,2.37518235503149,0.556,0.118,0,"0","Rpgrip1l"
0,2.87956622848671,0.512,0.074,0,"0","Gabbr2"
0,2.45247240264915,0.53,0.094,0,"0","Tmod2"
0,1.31563786815828,0.772,0.336,0,"0","Hist1h2bc"
0,1.98053428798248,0.608,0.173,0,"0","Lrba"
0,2.68102012708603,0.517,0.082,0,"0","Lrrc10b"
0,2.0497324461569,0.577,0.142,0,"0","Sdc2"
0,1.49542719085005,0.637,0.203,0,"0","Pclo"
0,1.42450723213406,0.881,0.447,0,"0","BC031181"
0,2.2231985220591,0.579,0.145,0,"0","Htatip2"
0,2.19969184530312,0.561,0.128,0,"0","Apbb1"
0,2.92619428215244,0.502,0.069,0,"0","Gm13589"
0,2.43980698966076,0.541,0.109,0,"0","Magi2"
0,1.49548318665338,0.724,0.293,0,"0","Acbd5"
0,2.82826452734125,0.514,0.083,0,"0","Scn3b"
0,1.32034929740252,0.862,0.431,0,"0","Tnrc6c"
0,1.92315933292809,0.597,0.166,0,"0","Zc2hc1a"
0,1.34711591780408,0.804,0.374,0,"0","Oip5os1"
0,1.09680126046413,0.653,0.224,0,"0","Bcl7a"
0,1.65619515121883,0.625,0.196,0,"0","Nav1"
0,2.87899293139786,0.504,0.075,0,"0","5330413P13Rik"
0,1.46545042021266,0.805,0.377,0,"0","Ubl3"
0,1.41391496098422,0.807,0.379,0,"0","Psmc5"
0,1.88745060687256,0.608,0.18,0,"0","Tusc3"
0,1.45133847537881,0.734,0.307,0,"0","Abhd17a"
0,2.2697278207002,0.549,0.123,0,"0","Gabbr1"
0,2.19233045196486,0.547,0.121,0,"0","Dtna"
0,1.58092822107455,0.696,0.27,0,"0","Erlec1"
0,1.94424708212955,0.59,0.166,0,"0","D430042O09Rik"
0,1.74755136883947,0.594,0.171,0,"0","Rasal2"
0,2.02444656647724,0.582,0.159,0,"0","Rarg"
0,2.36310978770026,0.521,0.099,0,"0","Fam171b"
0,3.04095390193364,0.487,0.065,0,"0","Dnajb13"
0,2.70764389855289,0.499,0.078,0,"0","Fhad1"
0,2.72412236474468,0.499,0.078,0,"0","Dtx1"
0,1.2319388325132,0.801,0.381,0,"0","Pten"
0,1.81078460291118,0.61,0.19,0,"0","Rnf220"
0,1.59091978993583,0.619,0.199,0,"0","Osbpl1a"
0,2.02981049651921,0.558,0.139,0,"0","Palm"
0,2.76480368035776,0.501,0.082,0,"0","Lpcat4"
0,2.59286765952534,0.513,0.095,0,"0","Usp21"
0,1.86041880602883,0.571,0.153,0,"0","Cby1"
0,1.79657394889942,0.62,0.203,0,"0","Npdc1"
0,3.11074722164805,0.48,0.063,0,"0","Jhy"
0,1.44071190165457,0.623,0.207,0,"0","Gcnt2"
0,2.01644877324719,0.571,0.155,0,"0","Ngrn"
0,3.30489548013965,0.487,0.072,0,"0","Dlg2"
0,1.41394754298596,0.711,0.297,0,"0","Pcmt1"
0,2.95140970503354,0.482,0.068,0,"0","Ccdc40"
0,1.30637059260518,0.787,0.374,0,"0","Pfdn2"
0,1.33984949608721,0.603,0.19,0,"0","Slc27a2"
0,1.55820682303132,0.618,0.206,0,"0","Nbea"
0,2.39216142551662,0.509,0.097,0,"0","Cadps"
0,2.78412212724845,0.485,0.073,0,"0","Brdt"
0,1.96330127362851,0.566,0.154,0,"0","Megf9"
0,1.46188473535184,0.697,0.286,0,"0","Timm17a"
0,1.62880404311687,0.616,0.206,0,"0","Dbndd2"
0,1.17195038461161,0.763,0.353,0,"0","Zmiz1"
0,1.77461979489335,0.597,0.187,0,"0","Tmem64"
0,2.05957451602288,0.535,0.127,0,"0","Gk5"
0,2.42412272846138,0.512,0.106,0,"0","Wdr35"
0,1.20958512831808,0.842,0.436,0,"0","Rtn3"
0,2.58793341983829,0.491,0.086,0,"0","Dusp14"
0,2.30489438525862,0.516,0.111,0,"0","Akap17b"
0,2.09913379238722,0.53,0.126,0,"0","Cacna1d"
0,1.02790662731947,0.673,0.269,0,"0","Rfk"
0,2.23990623757892,0.518,0.115,0,"0","Nsmf"
0,2.01759847239632,0.547,0.144,0,"0","Tnfrsf21"
0,1.3391226624425,0.913,0.511,0,"0","Ppp1r14b"
0,1.40514900946802,0.682,0.281,0,"0","Mapkap1"
0,1.56895299529002,0.623,0.222,0,"0","Ckap5"
0,2.14272728066915,0.527,0.126,0,"0","Ift88"
0,2.16001846333943,0.534,0.134,0,"0","Morn2"
0,3.07432471795592,0.459,0.06,0,"0","Hcn2"
0,1.24184199484883,0.733,0.334,0,"0","Mat2b"
0,1.74787997024577,0.522,0.124,0,"0","Emx2"
0,2.62454358534946,0.483,0.085,0,"0","Eml5"
0,2.19176492569344,0.524,0.127,0,"0","Cyb561"
