"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Zfc3h1",1.94850749841563e-05,0.401403169904047,1,1,0.489640449276863
"Fkbp1a",1.97635022239094e-05,-0.384842238570941,1,1,0.496637047384619
"Zfp326",2.04006059582513e-05,-0.189699332377095,1,1,0.512646827124896
"Prpf38b",2.17166895865757e-05,0.352804195399237,1,1,0.545718692621062
"Il27",2.19832971766163e-05,0.763730258737144,1,1,0.55241827475119
"Nmi",2.20653290607011e-05,0.888668543599027,1,1,0.554479653966357
"Mthfd2",2.24156395962688e-05,0.790282498746921,1,1,0.56328260741464
"Tsen15",2.26959046746802e-05,-0.464967099204232,1,1,0.570325388570038
"Ift172",2.27673733052697e-05,0.593378458030559,1,1,0.572121323788122
"Comt",2.28439175310833e-05,-0.273134956999155,1,1,0.574044803638593
"B230307C23Rik",2.34066983314839e-05,0.658139914818401,1,1,0.588186922371859
"Gimap6",2.363740320426e-05,-0.444596564443416,1,1,0.593984305119849
"Nom1",2.36463429707882e-05,0.386662250637334,1,1,0.594208952512937
"Tmem88",2.37612743816767e-05,-0.559916233616388,1,1,0.597097063937153
"Rps14",2.38592365386988e-05,-0.23732749122806,1,1,0.599558754980962
"0610010K14Rik",2.41993200325591e-05,-0.256493690010206,1,1,0.608104713098177
"Cd63",2.42330792911451e-05,-0.540985569297106,1,1,0.608953049507186
"Slfn5",2.43367832431057e-05,1.06135134570527,1,1,0.611559026116004
"Il10rb",2.43657412280357e-05,-0.262799911880921,1,1,0.612286711319308
"Gvin1",2.45078186637871e-05,0.645585801822323,1,1,0.615856975202306
"Ifi27",2.48385592010375e-05,-0.79475959846035,1,1,0.624168154162871
"Cpa3",2.49143308944123e-05,0.361516973670139,0.889,0.444,0.626072221045685
"Gm42047",2.52287680481579e-05,0.38234297478097,1,1,0.63397371228216
"Aqp1",2.52300913305568e-05,-0.613251721190336,1,1,0.634006965045562
"Nmral1",2.55241701023157e-05,0.514836267563325,1,1,0.641396870501091
"Rps4x",2.57456535951403e-05,-0.345564295352815,1,1,0.646962529192282
"Slc29a1",2.60814584376691e-05,-0.356676403396575,1,1,0.655400969080187
"Hexa",2.61666859419667e-05,-0.390148078337175,1,1,0.657542651035681
